Name(String),Dept(Integer),Salary(Integer),Tax(Integer)
Thomas,2,3062800,30629
Williams,1,778900,7790
Garcia,3,3636000,36361
Johnson,3,1525300,15254
Garcia,4,1447400,14475
Garcia,4,3382700,33828
Miller,0,3594100,35942
Williams,3,4345900,43460
Jackson,0,1924200,19243
Taylor,2,2283900,22840
Garcia,0,3723600,37237
Martin,1,494700,4948
Robinson,1,762300,7624
Martinez,4,2259700,22598
Miller,2,853200,8533
Johnson,2,3051600,30517
Martin,0,2528400,25285
Moore,3,227800,2279
Johnson,0,183600,1837
Harris,1,3288500,32886
Thomas,2,1591700,15918
Anderson,2,1858900,18590
Wilson,0,2446700,24468
Smith,2,2824500,28246
Smith,1,1332600,13327
Thompson,4,639100,6392
Davis,2,3110700,31108
Smith,4,1981400,19815
Thomas,3,1987700,19878
Davis,2,4034400,40345
Robinson,2,2847000,28471
Wilson,4,3076600,30767
Thomas,1,2584100,25842
Williams,0,3195000,31951
Davis,3,1993700,19938
Robinson,3,186300,1864
Brown,1,3800900,38010
White,1,1791200,17913
Martinez,0,2134600,21347
Miller,1,3170500,31706
Garcia,4,3415700,34147
Robinson,3,3068200,30683
Thompson,1,3852500,38526
Miller,2,1811000,18100
Jackson,2,448200,4483
Johnson,4,1233700,12338
Taylor,1,2288400,22885
Taylor,1,223900,2240
White,3,3538600,35387
Jones,1,3883600,38837
Garcia,2,3425600,34257
White,4,1183300,11834
White,1,3349200,33493
Williams,3,2000000,20001
Harris,1,3669700,36698
Brown,2,1531900,15320
Anderson,0,130500,1306
Brown,1,1190700,11908
Jackson,0,3864500,38646
Moore,3,2305600,23057
Jones,2,4128400,41285
Thomas,3,4271600,42717
Jackson,2,1413500,14136
Martinez,2,3236100,32362
Martin,3,3883900,38840
Garcia,4,1122700,11217
Johnson,1,160500,1606
Moore,4,1098400,10985
Martinez,0,511400,5115
Martin,4,1639400,16395
Wilson,2,1798200,17983
Wilson,1,2450700,24508
Jackson,0,2280500,22806
Jones,4,3544600,35447
Harris,4,2405700,24058
Martinez,0,1235600,12357
Brown,0,3316100,33162
Garcia,3,3969600,39697
Miller,2,1370500,13706
Jones,0,551300,5514
Martin,0,2601100,26012
Johnson,3,89600,897
Wilson,3,2438700,24388
Jones,2,2297800,22979
Harris,4,3953500,39536
Robinson,4,3452800,34529
Taylor,3,3715500,37156
Martin,1,1436500,14366
Taylor,3,3978800,39789
Martin,2,1109200,11093
Anderson,1,4132000,41321
Wilson,3,1277800,12779
Moore,0,3645100,36452
Johnson,4,22800,229
Miller,0,2556000,25561
Garcia,1,1654700,16548
White,1,2927500,29276
Anderson,4,2132300,21324
Brown,4,603600,6037
Davis,0,659600,6597
Johnson,1,510800,5109
Williams,1,1714800,17149
Wilson,2,1786700,17868
Harris,2,676800,6769
Johnson,0,601200,6013
Johnson,2,2229400,22295
White,2,4180900,41810
Jones,1,276500,2766
White,1,608400,6085
Williams,0,4233700,42338
Jackson,0,3469900,34700
Taylor,3,1431400,14315
Johnson,4,208100,2082
Miller,3,2220200,22203
Moore,3,359700,3598
Martinez,0,1103700,11038
Wilson,2,4210300,42104
Taylor,1,2755200,27553
Williams,4,2191300,21914
White,3,116000,1161
Moore,0,1576700,15768
Jones,0,2715900,27160
Thomas,3,2488800,24878
Jones,4,3618500,36186
Brown,1,1709600,17097
Smith,2,1036400,10365
Wilson,0,2748800,27489
Harris,0,2189000,21891
Davis,3,1639300,16394
Jones,0,3868300,38684
Smith,1,1485800,14859
Harris,0,570000,5701
Williams,3,2386200,23863
Davis,3,2389600,23897
Jones,0,1079600,10797
Taylor,2,974600,9747
Smith,0,1325400,13255
Miller,0,3023200,30233
Taylor,0,989100,9892
Martin,0,644600,6447
White,2,3287900,32869
Johnson,1,1920100,19202
Taylor,0,186800,1869
Williams,2,2848400,28485
White,3,2876000,28761
White,0,2408300,24084
Moore,2,4040300,40404
White,0,367900,3680
Harris,3,2317900,23180
Robinson,3,2360300,23604
Davis,4,1932100,19322
Davis,3,2799400,27995
Thomas,3,3956500,39566
Wilson,3,516000,5161
Robinson,2,3943700,39438
Jones,0,3983400,39835
Taylor,2,2874100,28742
Brown,0,2654900,26550
Thompson,4,2678300,26784
Garcia,0,3520300,35204
Williams,3,34700,348
Martinez,3,2254600,22547
Williams,1,1715000,17151
Jackson,3,854200,8543
Anderson,4,775100,7752
Martinez,0,906800,9069
White,3,708100,7082
Davis,0,892700,8928
Moore,3,3571700,35718
Johnson,3,2648800,26489
Martinez,4,2258600,22587
Anderson,0,1388200,13883
Jackson,0,645200,6453
Thompson,0,1667800,16679
Jackson,3,2641700,26418
Moore,1,301000,3011
Martinez,0,1048700,10477
White,4,3965400,39655
Brown,3,3779100,37792
Thomas,2,2323500,23236
Robinson,4,247900,2480
Thomas,3,2297600,22977
Harris,0,1634900,16350
Brown,3,2548200,25483
Johnson,4,2897300,28974
Williams,1,3183600,31837
Wilson,4,2380200,23803
Jackson,0,2675800,26759
Brown,0,2280000,22801
Thomas,4,359800,3599
Smith,3,515500,5156
Brown,3,553300,5534
Johnson,1,968300,9684
Harris,0,2410200,24103
Martin,1,3347700,33478
Davis,0,3252300,32524
Brown,0,373700,3738
Moore,4,3717200,37173
Thompson,3,2763200,27633
Miller,2,1240700,12408
Jones,1,1922600,19227
White,1,302600,3027
Smith,2,25700,258
Robinson,3,3343900,33440
Martinez,2,927000,9271
Moore,4,2483400,24835
Anderson,0,1733600,17337
Davis,2,3434400,34345
Thomas,1,1559100,15592
Jones,4,2768300,27684
Williams,3,2539400,25395
Robinson,0,267300,2674
Thompson,3,2743500,27436
Anderson,1,2464100,24642
Brown,4,1476400,14765
Anderson,0,2071300,20714
Jones,4,3785000,37851
Moore,4,2109100,21092
Garcia,0,418200,4183
Moore,1,768400,7685
Harris,0,779600,7797
Davis,1,2647400,26475
White,3,1490000,14901
Thomas,2,831200,8313
Anderson,1,1474100,14742
Martinez,2,752900,7530
Taylor,3,4189700,41898
Wilson,4,2704000,27041
Robinson,4,1878100,18782
Thomas,1,2329600,23297
Johnson,3,1610200,16103
Martinez,2,2499400,24995
Garcia,4,1570000,15701
Miller,1,712200,7123
Jackson,0,1156100,11562
Thomas,3,3012800,30129
Smith,2,1549400,15495
Smith,4,3863900,38640
Garcia,2,846300,8464
Martin,0,892100,8922
Davis,4,2507100,25072
Miller,1,1752000,17521
Williams,4,3655100,36552
Williams,4,313300,3134
Johnson,0,4286700,42868
Anderson,1,1581900,15820
Robinson,3,3363900,33629
Martin,3,3536800,35369
Johnson,4,2461600,24617
Miller,3,961800,9619
Jones,4,1513200,15133
Johnson,3,2809900,28100
Thomas,4,2277300,22774
Garcia,3,3144900,31450
Anderson,0,2935300,29354
Thomas,0,2052200,20523
Thompson,4,2736400,27365
Brown,2,2302300,23024
Thompson,3,2589400,25895
Brown,0,88500,886
Miller,3,1770800,17709
Garcia,1,1479700,14798
Williams,3,2388900,23890
Moore,1,2724500,27246
Miller,2,2365900,23660
Miller,0,2433700,24338
Thomas,3,796000,7961
Smith,0,934500,9346
Miller,2,2116900,21170
Brown,2,2221900,22220
Johnson,3,609900,6100
Davis,2,4295300,42954
Jones,4,3606200,36052
Johnson,4,3613600,36137
Wilson,1,2966500,29666
Thomas,3,2432100,24322
Anderson,2,3888700,38888
Thompson,1,4201100,42012
Moore,4,420900,4199
Taylor,2,4284900,42850
Taylor,4,2625100,26252
Williams,3,4212800,42129
Davis,2,2478800,24789
Harris,4,542800,5429
Moore,1,1651100,16512
Williams,0,458000,4581
Johnson,0,4206700,42068
Miller,4,2304400,23045
Smith,2,4143000,41431
Jones,4,734600,7347
Taylor,0,4354500,43546
Smith,4,534700,5348
Davis,3,1340700,13408
Harris,1,2502600,25027
Thompson,1,196000,1961
Miller,4,904100,9042
Thomas,2,1002400,10025
Martin,3,537700,5378
Johnson,4,4214200,42143
Wilson,0,1443100,14432
Jackson,1,3641700,36418
Williams,4,1757000,17571
Anderson,0,2009200,20093
Taylor,0,3765700,37658
White,4,3171600,31717
Anderson,0,1550300,15504
Jones,4,4101000,41011
Jackson,3,3040500,30406
Johnson,2,1754800,17549
Wilson,2,4012900,40130
Johnson,2,1288700,12888
Jones,0,2514300,25144
Davis,0,2138500,21386
Smith,1,3844300,38444
Taylor,0,157500,1576
Wilson,4,2779200,27793
Brown,0,750200,7503
Jackson,3,3166000,31650
White,2,2188500,21886
Jones,4,2085400,20855
Taylor,1,2922900,29230
Johnson,1,3024500,30246
Martin,4,3879600,38786
Miller,4,3969200,39693
Martin,0,1011200,10113
Martin,3,2765800,27659
Garcia,4,561000,5611
Brown,4,1727600,17277
Thomas,3,3797200,37973
Johnson,0,4308100,43082
Thompson,1,2181800,21819
Taylor,3,4003400,40035
Thompson,2,2352300,23524
Jones,4,3600500,36006
Davis,0,2841400,28415
Martin,4,696600,6967
Davis,4,1478200,14783
Wilson,4,2162800,21629
Martinez,4,684100,6831
Thomas,0,1723400,17235
Davis,0,622400,6225
Thompson,2,11400,115
Thomas,1,945100,9452
Robinson,1,2288000,22881
Garcia,3,4117200,41173
Wilson,2,3340100,33391
Johnson,2,1758100,17582
Smith,3,256800,2569
Jones,2,3371200,33713
Taylor,2,2943200,29433
Jones,3,1887300,18874
Wilson,4,1090100,10902
Jones,3,3072200,30723
Smith,4,3498900,34990
Thompson,0,4271500,42716
Jones,3,508700,5088
Jackson,0,3022600,30227
Harris,2,2314600,23147
Martin,4,162200,1623
Brown,0,2607700,26078
Johnson,4,1555500,15556
Garcia,1,2372800,23729
Anderson,0,2980300,29804
Harris,1,2646500,26466
Martinez,0,2922100,29222
Garcia,3,2081000,20811
Robinson,0,2380400,23805
Williams,4,1307900,13080
Thompson,3,2018600,20187
Martin,4,2489200,24893
Jones,1,500000,5001
Martin,2,1979700,19798
Thomas,3,2233900,22340
Martin,3,2625200,26253
Jackson,1,2644300,26444
Moore,3,2253400,22535
Martin,2,4329800,43299
Davis,4,4345100,43452
Martinez,4,1764000,17641
Martin,1,1133300,11334
Smith,4,930100,9302
Taylor,2,13000,131
Moore,3,3822700,38228
Jones,1,3305300,33054
Martinez,1,37900,380
Smith,1,4254500,42546
Harris,3,1900800,19009
Smith,3,4281700,42818
Miller,0,2655000,26551
Martin,0,2366600,23667
Moore,3,1899000,18991
Martin,4,4161300,41614
Harris,4,1953300,19534
Robinson,2,639500,6396
White,2,1180800,11809
White,4,2305200,23053
Taylor,2,3581400,35815
Jones,1,3217000,32171
Martinez,1,4279400,42795
Williams,2,4291000,42911
Jackson,1,1707200,17073
Moore,2,4309000,43091
Anderson,0,3963200,39633
Davis,3,909200,9093
Martin,1,3871200,38713
Smith,0,3581300,35814
Garcia,3,1951600,19517
Robinson,3,3521000,35211
Davis,1,3128400,31285
Anderson,3,1300,14
Thompson,3,2593400,25935
Thompson,3,725500,7256
Brown,2,3337400,33375
Thomas,3,4179500,41796
Jackson,3,4192200,41923
Taylor,3,2731200,27313
Martinez,2,1810300,18104
Martin,4,3287400,32875
Moore,1,2655900,26560
Wilson,0,1038700,10388
Robinson,1,79600,797
Smith,0,2924900,29250
White,1,320600,3207
White,4,1456900,14570
Jones,3,1679700,16798
Thomas,3,534900,5350
Smith,4,3518000,35181
Thompson,0,2686300,26864
Smith,1,1707600,17077
Jackson,2,2564400,25645
Thompson,3,3153900,31540
Martinez,2,3744400,37445
Anderson,0,4069500,40696
Jackson,2,1820300,18204
Wilson,1,949800,9499
Harris,3,674400,6745
Harris,4,3764600,37647
Harris,2,2210900,22110
Robinson,2,3774800,37749
Brown,0,3429500,34296
Jackson,3,274800,2749
Anderson,4,648900,6490
Moore,3,2653800,26539
Miller,3,3867200,38673
Martinez,0,3704900,37050
Garcia,0,770700,7708
Smith,2,2021300,20214
Robinson,0,3328100,33282
Davis,4,3576300,35764
Harris,4,1517000,15171
Williams,4,4157300,41574
Davis,1,93100,932
Brown,3,1527600,15277
Smith,0,3273800,32739
Smith,1,1934400,19345
Jackson,3,876300,8764
Miller,3,3856100,38562
White,1,3495800,34959
Thomas,2,2646200,26463
Martin,0,3603400,36035
Moore,2,2035800,20359
Moore,2,2837800,28379
Johnson,4,1888000,18881
Johnson,0,3016500,30166
Martinez,2,3486700,34857
Wilson,4,3724600,37247
Davis,2,311600,3117
Jackson,0,2523600,25237
Jackson,4,951800,9519
Martin,0,2858400,28585
Wilson,4,2411000,24111
Garcia,3,50700,508
Taylor,2,862300,8624
Jackson,3,1362400,13625
Jones,0,4331000,43311
Anderson,1,2931800,29319
Robinson,3,3580900,35810
Johnson,0,4097900,40969
Garcia,3,4279700,42798
Thomas,1,1154100,11542
Robinson,2,4011300,40114
Thompson,2,2006000,20061
Martinez,3,4190200,41903
Anderson,1,1884100,18842
Jackson,0,197700,1978
Robinson,1,2135200,21353
Brown,1,59500,596
Taylor,4,1463600,14637
Moore,1,2338500,23386
Martin,1,1869500,18696
Thompson,1,428600,4287
Johnson,2,506900,5070
Martinez,0,4046900,40470
Anderson,0,1470200,14703
Martinez,0,1500300,15004
Thomas,4,2882700,28828
Martinez,4,651800,6519
Garcia,2,1380200,13803
Miller,1,3461800,34619
Brown,4,3185300,31854
Thomas,2,3970400,39705
Robinson,3,2137300,21374
Wilson,2,3415300,34154
Miller,4,3148700,31488
Thomas,3,3668600,36687
Martinez,3,1482800,14829
Jackson,1,1184400,11845
Harris,3,2168400,21674
Martinez,3,720700,7208
Brown,0,49900,500
White,2,1729200,17293
Moore,1,3950600,39507
Moore,2,2746900,27470
Thomas,0,1071100,10712
Taylor,2,448300,4484
Garcia,3,3479100,34792
Taylor,3,3663600,36637
Wilson,1,961500,9616
Williams,4,2978900,29790
Garcia,4,1805200,18053
Martinez,2,3040100,30402
Moore,4,4030000,40290
Jackson,2,1315200,13153
Martin,0,677100,6772
Jones,0,1599300,15994
Robinson,3,1241600,12417
Anderson,2,283400,2835
Martinez,2,3549200,35493
Davis,3,1041800,10419
Jones,4,1914700,19148
Robinson,3,1480900,14810
Jones,1,909500,9096
Johnson,3,3496900,34970
White,4,2212500,22126
White,0,2483900,24840
Williams,3,437400,4375
Thompson,4,3486600,34867
Thomas,1,4172600,41727
Miller,3,2007500,20076
Johnson,1,2496200,24963
Robinson,2,2345600,23457
White,0,3356300,33564
Martinez,1,2181200,21813
Williams,1,3178200,31783
Davis,3,811100,8112
Martin,3,3221600,32217
Davis,0,2024100,20242
Thomas,3,3874700,38748
Moore,4,1077100,10772
Garcia,3,2536800,25369
Williams,0,3518200,35183
White,2,790700,7908
Taylor,4,4132600,41327
Thompson,4,2928500,29286
Taylor,1,1968900,19690
Robinson,2,770900,7710
Martinez,0,2577300,25774
Martinez,3,3095500,30956
Moore,4,4249700,42498
White,1,1117000,11171
Anderson,2,2789200,27893
Garcia,0,4008900,40090
Johnson,3,2187800,21879
Jones,1,2992900,29930
Robinson,0,821200,8213
Harris,3,2478300,24784
Thomas,0,3017400,30175
Thompson,2,3142500,31415
White,0,2295100,22952
Williams,2,3904800,39049
Miller,3,3233800,32339
Robinson,4,2412900,24130
Taylor,1,3840900,38410
Thomas,3,1843700,18427
Williams,4,335400,3355
Taylor,2,2214400,22145
Anderson,2,1063900,10640
Harris,2,3031800,30319
Jones,2,581400,5815
White,4,1772300,17724
Jackson,2,3094400,30945
Davis,3,2618800,26189
Taylor,2,2567200,25673
Thompson,4,2521400,25215
Davis,1,4195700,41958
Johnson,3,1070700,10708
Moore,4,362700,3628
Moore,0,1815500,18156
Thompson,2,317600,3177
Davis,1,2768700,27688
Williams,1,1846900,18470
Moore,4,1977600,19777
Jackson,0,2801400,28015
Thompson,3,3935400,39355
Robinson,1,490200,4903
Martinez,4,2559800,25599
Jones,0,995600,9957
Jones,3,3425400,34255
Williams,0,4246100,42451
Johnson,3,2716800,27169
Miller,0,541200,5413
Smith,2,3048900,30490
Thompson,4,3777600,37777
Johnson,3,1925400,19255
Jones,3,3536500,35366
Harris,3,1260200,12603
Anderson,4,3038400,30385
Robinson,3,1095900,10960
Robinson,4,87500,876
Taylor,2,1567900,15680
Miller,0,4056500,40566
Garcia,4,1521800,15219
Martin,0,3114300,31144
Robinson,2,1426600,14267
Brown,3,385200,3853
Anderson,3,371400,3715
Martin,0,3301400,33015
Harris,0,2672300,26724
Garcia,1,2949500,29496
Brown,3,3176900,31770
White,2,2209300,22094
Davis,4,3306000,33061
Miller,1,4013700,40138
Williams,2,3284100,32842
Taylor,2,1970600,19707
Harris,0,3886700,38868
Thompson,2,4321000,43211
Garcia,1,796400,7965
Brown,4,1159200,11593
Thompson,2,1240600,12407
Garcia,0,3859100,38592
Davis,3,1610700,16108
Thompson,4,1909200,19093
Thompson,3,3415500,34156
Moore,2,1039200,10393
Harris,1,3083900,30840
Miller,3,4269300,42694
Anderson,2,2164000,21641
Williams,0,1885400,18855
Thompson,4,2918200,29183
Martin,2,2149000,21491
Wilson,1,4301800,43019
Robinson,3,2641900,26420
Harris,1,1673700,16738
Jones,4,252000,2521
Anderson,4,3663100,36632
Martin,0,3498300,34984
Thompson,3,2093700,20938
Anderson,0,2105300,21054
Thomas,3,1978800,19789
Wilson,2,3606000,36061
Robinson,0,2693900,26940
Miller,2,2283400,22835
White,0,732300,7324
Garcia,4,1174600,11747
Martinez,4,330400,3305
Brown,2,1042700,10428
Johnson,0,704400,7045
Smith,2,2083900,20840
Williams,1,2159600,21597
Anderson,2,374500,3746
White,3,3044000,30441
Davis,3,943800,9439
Williams,0,3948400,39485
Wilson,0,1373600,13737
Thompson,0,2253800,22539
Wilson,4,2887900,28880
Thompson,0,596600,5967
White,3,582200,5823
Thompson,3,3402400,34025
Thompson,1,3654700,36548
Davis,0,1193200,11933
White,1,4003900,40040
Harris,2,1636600,16367
Moore,2,3794000,37941
White,2,2047800,20479
Taylor,0,3751600,37517
Thompson,4,2517700,25178
Johnson,1,2094500,20946
Williams,3,2000400,20005
Thomas,3,2728200,27283
Jones,2,2319000,23180
Moore,3,621100,6212
Taylor,2,867100,8672
Garcia,3,3795200,37953
Brown,2,2018300,20173
Smith,4,1641300,16414
Harris,0,3141400,31415
Thomas,3,3035800,30359
Thomas,3,201000,2011
Smith,0,269900,2700
Jackson,3,2117900,21180
Garcia,0,1344400,13445
Anderson,4,2348900,23490
Jones,0,3185700,31858
Williams,2,377700,3778
White,1,1339600,13397
Taylor,1,3818500,38186
Martin,4,4021200,40213
Smith,1,940700,9408
Robinson,1,1258200,12583
Taylor,3,626200,6263
White,1,1750200,17503
Williams,3,1387300,13874
Thompson,0,2249200,22493
Wilson,1,2777700,27778
Thomas,4,947800,9479
Davis,2,2774600,27747
Jackson,1,2142100,21422
Miller,0,2467100,24672
Jones,4,2788000,27881
Anderson,1,3435600,34357
White,2,1583200,15833
Taylor,1,2946200,29463
Brown,1,170900,1710
Martinez,4,3245600,32457
White,2,2171300,21714
Smith,1,2864900,28650
Jackson,3,3367000,33671
Harris,4,2265100,22652
Johnson,4,3109400,31095
Robinson,4,1074000,10741
Wilson,4,511000,5111
Jackson,1,1202400,12025
Anderson,3,2075400,20755
Smith,4,1675900,16760
Moore,2,4278300,42784
Smith,3,2463600,24637
Moore,4,877100,8772
White,1,3742100,37422
Smith,4,309200,3093
Harris,2,977700,9778
Martinez,0,2136600,21367
Thomas,4,3761800,37619
Johnson,3,1942600,19427
Robinson,1,2949200,29493
Taylor,0,1968400,19685
Davis,2,1339200,13393
Wilson,4,215700,2158
Jones,0,1767900,17680
Johnson,0,1555800,15559
Harris,0,4079400,40795
Thompson,4,2154700,21548
Brown,3,2985000,29851
Johnson,0,575100,5752
Williams,4,2880900,28810
Martinez,0,233900,2340
Martin,3,4344200,43443
Garcia,0,747800,7479
Moore,3,846700,8457
Jackson,0,3477100,34772
Thompson,4,3386400,33865
White,2,687500,6876
Williams,4,1662600,16627
Wilson,3,434500,4346
Moore,3,2125300,21254
Johnson,2,1316800,13169
Garcia,2,2115700,21158
Moore,1,4077000,40771
Miller,2,2268800,22689
Davis,0,3569800,35699
Anderson,0,1078000,10781
Jackson,0,1088200,10883
Miller,1,1377100,13772
Jones,0,4332000,43321
Garcia,0,3123900,31240
Garcia,0,4093000,40931
Moore,3,2854100,28542
Moore,0,4111300,41114
Williams,2,3301100,33012
Anderson,2,835700,8358
Thomas,0,4244100,42442
Brown,4,2028500,20286
Martinez,4,2252500,22526
Garcia,0,2193300,21934
Wilson,0,2677100,26772
Harris,3,2639300,26394
Jones,0,3391600,33917
Wilson,0,1718400,17185
Thompson,3,2726400,27265
Smith,3,2774300,27744
Anderson,0,2608500,26086
Martinez,4,2501200,25013
Thomas,3,745800,7459
Robinson,4,2877700,28778
Williams,4,4103400,41035
Smith,1,3638400,36385
Jones,1,1434700,14348
Moore,1,4335400,43355
Anderson,4,4359600,43597
Thompson,3,3230500,32306
Thompson,1,3631900,36320
Thomas,0,1608100,16082
Davis,1,4305400,43055
Brown,0,1318300,13173
Anderson,1,2443500,24436
Jones,2,3999900,40000
Moore,0,2451400,24515
Smith,3,4206600,42067
Thomas,1,4132200,41323
Davis,4,2842200,28423
Miller,2,1031300,10314
Robinson,3,4160300,41604
Robinson,0,217100,2172
Martin,1,792300,7924
Anderson,1,1423100,14232
Harris,2,3706500,37066
Anderson,4,4352800,43529
Jones,0,4025500,40256
Robinson,1,1738600,17387
Jackson,2,2506700,25068
Anderson,1,2988200,29883
Robinson,3,1747100,17472
Williams,4,142700,1428
Thomas,1,3026800,30269
Wilson,3,3802000,38021
Johnson,4,4068700,40688
Wilson,0,4008400,40085
Martin,0,281800,2819
Davis,4,2350500,23506
Harris,0,1133700,11338
Davis,4,1266900,12670
Williams,2,366500,3666
Miller,1,1794300,17944
Davis,3,4098700,40988
White,4,4122800,41229
Martin,3,1766100,17662
Jackson,1,202100,2022
Miller,2,335100,3352
Thomas,1,2817900,28180
Johnson,1,2840100,28402
Williams,3,2106800,21069
Jackson,1,4198600,41987
