Name(String),Dept(Integer),Salary(Integer),Tax(Integer)
Johnson,0,755700,7558
Jackson,0,35900,360
Martinez,0,529300,5294
Smith,0,97900,980
White,4,713500,7136
Garcia,1,330900,3310
Robinson,4,354100,3542
Davis,4,581900,5820
Smith,0,600200,6003
Robinson,1,424200,4243
Brown,3,284300,2844
Davis,1,663600,6637
Harris,3,83800,839
Thomas,3,318700,3188
Thomas,2,913200,9133
Williams,2,858800,8589
Smith,3,911200,9113
Thompson,3,697400,6975
Johnson,0,695200,6953
Williams,4,895700,8958
Wilson,4,21400,215
Garcia,4,378600,3787
Thompson,3,809400,8095
Thomas,3,178500,1786
Martin,2,916700,9168
Jackson,3,931900,9320
Taylor,0,993700,9938
Thompson,4,182400,1825
Jackson,1,346000,3461
Johnson,1,77600,777
Davis,2,446800,4469
Williams,2,653400,6535
White,0,311200,3113
Brown,2,23000,231
Williams,0,393300,3934
Davis,1,813600,8137
Anderson,3,987600,9877
Williams,2,275500,2756
Jones,4,824500,8246
White,2,526600,5267
Davis,4,341000,3411
Harris,0,401400,4015
Anderson,2,287200,2873
Taylor,0,827800,8279
Johnson,2,838800,8378
Davis,1,400400,4005
Martinez,4,390300,3904
Taylor,4,987200,9873
Martin,3,530200,5303
Miller,2,944700,9448
Thomas,4,574400,5745
Johnson,2,598300,5984
Davis,0,110900,1110
Martin,3,117600,1177
Thompson,2,275300,2754
Jackson,0,92200,923
Brown,2,214800,2149
Moore,1,930200,9303
Harris,4,132900,1330
Harris,2,887300,8874
Thomas,2,1019900,10200
Martinez,0,474100,4742
Thomas,1,261000,2611
Martin,4,556300,5564
Miller,0,76100,762
Harris,0,855000,8551
Jones,3,226300,2264
Davis,4,926200,9263
Miller,3,524500,5246
Thomas,0,255000,2540
Johnson,3,903000,9031
Harris,0,969600,9697
Garcia,3,119000,1191
Martin,4,591300,5914
Moore,0,650500,6506
Moore,4,356000,3561
Garcia,2,733800,7339
Martin,2,957200,9573
Martinez,0,155900,1560
Martinez,0,65400,655
Thompson,1,228600,2287
Johnson,0,919700,9198
Garcia,4,27800,279
Thompson,3,375400,3755
Wilson,4,956200,9563
Robinson,3,534700,5348
Harris,0,83400,835
Jones,2,719500,7196
Smith,3,462500,4626
Wilson,1,100300,1004
Robinson,3,964500,9646
Moore,0,1016400,10165
Brown,2,928700,9288
Williams,3,469700,4698
Brown,2,91200,913
Smith,4,430800,4309
Harris,0,343600,3437
Martinez,2,111900,1120
Williams,3,963500,9636
Garcia,1,450500,4506
White,4,260900,2610
Harris,1,656900,6570
Martinez,1,551900,5520
Davis,3,526900,5270
Martin,3,407000,4071
Smith,1,996200,9963
Jackson,4,683700,6838
Anderson,3,429600,4297
Brown,1,403100,4032
Jones,0,33700,327
White,4,704600,7047
Thomas,4,379100,3792
Brown,4,948800,9489
Brown,3,965900,9660
Martin,0,398300,3984
Thomas,1,815900,8160
Brown,4,123700,1238
Thomas,1,156700,1568
Johnson,4,787100,7872
Miller,1,867200,8673
Anderson,1,36300,364
Garcia,1,573600,5737
White,3,376400,3765
Wilson,0,796900,7970
Davis,4,284600,2847
Anderson,1,915800,9159
Jackson,2,30700,308
Martinez,0,87200,873
Jones,1,603300,6034
Miller,2,658100,6582
Anderson,2,197000,1971
Miller,1,95300,954
Wilson,4,166600,1667
Brown,0,126400,1265
Taylor,1,953600,9537
Johnson,3,921200,9213
Johnson,3,132500,1326
White,0,569500,5696
Taylor,1,1018300,10184
Williams,3,139400,1395
Robinson,2,752200,7523
Smith,4,370500,3706
Jackson,4,447700,4478
Davis,0,754500,7546
Thomas,0,353200,3533
Williams,3,276200,2763
Jackson,0,285800,2859
Davis,1,338800,3389
Brown,1,366100,3662
Thomas,4,28500,286
Jones,2,497800,4979
Brown,2,541400,5415
Moore,4,527600,5277
Jones,1,326000,3261
Martinez,4,310800,3109
Moore,0,600500,6006
Thomas,3,525600,5257
Thompson,2,395700,3958
Taylor,3,893200,8933
Anderson,0,227300,2274
Jones,3,214200,2143
Smith,3,534200,5343
Martinez,2,13700,138
Robinson,2,385400,3855
Harris,3,184900,1850
Jackson,1,1004300,10044
Williams,3,710700,7108
Miller,3,902500,9026
Harris,0,814900,8150
Martinez,1,795000,7951
Robinson,2,931000,9311
Moore,3,658500,6586
Williams,0,393400,3935
Davis,4,387300,3874
Johnson,4,286700,2868
Wilson,2,106700,1068
Thomas,2,988700,9888
Garcia,2,424000,4241
Taylor,1,4100,42
Martin,4,320900,3199
Garcia,4,230200,2303
Anderson,1,410500,4106
White,0,311100,3112
Thomas,4,220600,2207
Brown,2,170000,1701
Robinson,1,852900,8530
Davis,4,252800,2529
Davis,2,910400,9105
Brown,2,615700,6158
White,0,904400,9045
Jones,4,123300,1234
Jones,0,318300,3184
Harris,1,769000,7691
Garcia,0,254500,2546
Harris,4,1013000,10131
Moore,3,456500,4566
White,4,505000,5051
Taylor,1,114700,1148
Davis,4,314200,3143
Jones,0,688500,6886
Robinson,0,30800,309
Miller,1,46700,468
Williams,1,756000,7561
Brown,0,871300,8714
Thomas,3,211500,2116
Thomas,3,243200,2433
Taylor,1,849400,8495
Davis,3,769600,7697
Taylor,3,721700,7218
Garcia,3,427400,4275
Miller,2,1025700,10258
Robinson,1,17300,174
Smith,1,1009400,10095
Garcia,3,615600,6157
Garcia,1,261100,2612
Davis,3,788100,7882
Robinson,4,926300,9253
Johnson,3,1012700,10128
Brown,0,61600,617
Anderson,3,177800,1779
Davis,3,324800,3249
Martin,3,181600,1817
Thomas,1,599700,5998
Thompson,2,299300,2994
Thompson,0,72300,724
Jackson,3,305400,3055
Miller,0,13200,133
Thomas,3,235000,2351
Martinez,1,966900,9670
Martinez,1,749100,7492
Johnson,1,322800,3229
Martin,2,259700,2598
Williams,4,843200,8433
Miller,1,23200,233
Davis,2,329600,3297
Moore,4,2500,26
Harris,1,672300,6724
Robinson,4,680600,6807
White,4,858000,8581
Garcia,3,542300,5424
White,0,1024900,10250
Wilson,3,511600,5106
Moore,0,574000,5741
Wilson,1,120600,1207
Taylor,0,908200,9083
Anderson,3,203400,2035
Williams,1,529600,5297
Anderson,2,651500,6516
Taylor,2,920500,9206
Wilson,2,683200,6833
Wilson,1,144800,1449
Miller,3,780700,7808
Johnson,1,183100,1832
Brown,3,192300,1924
Smith,2,93100,932
Davis,2,386000,3861
Martin,4,143700,1438
Wilson,4,579500,5796
Martin,2,433300,4334
Thompson,4,401600,4017
White,4,759800,7599
Thompson,3,84100,842
Williams,1,1001500,10016
Johnson,2,344400,3445
Miller,0,403300,4034
White,2,745400,7455
Harris,1,482100,4822
Taylor,1,726400,7265
Smith,4,950700,9508
Thompson,0,361100,3612
Thomas,3,574800,5749
Jones,2,702500,7026
Martinez,2,561500,5616
Anderson,1,1007100,10072
Brown,4,1028300,10284
Brown,3,477200,4773
Anderson,3,632900,6330
Robinson,4,509700,5098
Miller,0,129900,1300
Miller,3,311000,3111
Thompson,1,840500,8406
Jackson,0,352800,3529
Martinez,0,751100,7512
White,3,656500,6566
Anderson,3,928800,9289
Miller,2,75200,742
Jackson,3,269800,2699
Thompson,4,662700,6628
White,3,302200,3023
Williams,2,827500,8276
Williams,2,1014800,10149
Wilson,3,62600,627
Davis,0,639400,6395
Jones,0,336600,3367
Jackson,4,611300,6114
Robinson,1,445000,4451
Thompson,2,418900,4190
Moore,0,674600,6747
Martinez,4,684300,6844
Harris,2,166000,1661
Martin,4,909800,9099
Johnson,1,776400,7765
White,3,446700,4468
Harris,3,860400,8605
Anderson,4,597200,5973
Wilson,1,397300,3974
Harris,1,971000,9711
Martinez,4,533900,5340
Taylor,2,277800,2779
Jackson,3,595600,5957
Jackson,0,562500,5626
Garcia,0,549400,5495
Thompson,3,968600,9687
Thomas,0,595400,5955
Harris,2,245400,2455
Miller,0,332700,3328
Robinson,2,572000,5721
Wilson,2,638100,6382
Harris,2,496500,4966
Harris,4,822700,8228
Thompson,2,172600,1727
Johnson,2,287500,2876
Davis,2,222900,2230
Jones,1,731300,7314
Garcia,2,124400,1245
Jackson,3,653100,6532
Thompson,3,16800,169
Thomas,4,433400,4335
White,2,802600,8027
Jones,4,611200,6113
Martin,4,142000,1421
Taylor,1,345700,3458
Thompson,1,117800,1179
White,3,303600,3037
Thomas,4,422300,4224
Jackson,4,279700,2798
Johnson,4,232700,2328
Moore,1,106500,1066
Taylor,2,51100,512
Thomas,0,315200,3153
Anderson,2,107500,1076
Brown,4,254700,2548
Moore,4,951700,9518
Martin,2,834400,8345
Garcia,4,411500,4116
Brown,0,331900,3320
Johnson,0,453200,4533
Davis,0,576500,5755
White,1,460300,4604
Martin,0,994600,9947
Brown,3,670700,6708
Smith,3,562000,5621
Wilson,2,644300,6444
Williams,1,87100,872
Thompson,2,44800,449
Jackson,2,756800,7569
Martinez,2,183800,1839
Taylor,2,226100,2262
Harris,4,140100,1402
Jones,0,27000,271
Martin,1,219000,2191
Wilson,2,768800,7689
White,4,737100,7372
White,3,659000,6591
Thomas,2,22100,222
Taylor,0,469300,4694
Garcia,3,832800,8329
Smith,2,989900,9889
Smith,0,47900,480
Williams,0,66700,668
Davis,0,884100,8842
Martinez,1,223000,2231
Smith,1,189800,1899
Wilson,0,584000,5841
Miller,0,442000,4421
Garcia,4,161400,1615
Thompson,2,1018000,10181
Martin,4,189400,1884
Anderson,2,265800,2659
Moore,3,283900,2840
Thomas,3,272400,2725
Moore,4,534800,5349
Jackson,3,530900,5310
Thomas,0,327000,3271
Robinson,1,802100,8022
Martin,4,67300,674
Martin,0,328200,3283
Martinez,4,941300,9414
Taylor,3,160000,1601
Thompson,4,251000,2511
Brown,3,727000,7260
Davis,0,402400,4025
Johnson,1,585000,5851
White,3,288100,2882
Taylor,0,948700,9488
White,2,1008800,10089
Anderson,2,937900,9380
Martin,2,569900,5700
Davis,2,593700,5938
Moore,2,999300,9994
Taylor,2,445300,4454
Harris,1,24400,245
Thomas,2,975200,9753
White,0,589000,5891
Harris,4,886400,8865
Miller,2,885700,8858
Miller,4,728700,7288
Jones,1,417500,4176
Miller,2,14600,147
Miller,3,868600,8687
Wilson,0,208400,2085
Jackson,2,413500,4136
Thomas,3,247000,2471
Harris,1,846300,8464
Harris,3,658300,6584
Smith,1,734300,7344
Martin,0,679400,6795
Davis,1,583300,5834
Taylor,2,232600,2327
Davis,1,497600,4977
Anderson,2,585300,5854
Williams,1,643000,6431
Martin,0,980100,9802
Taylor,4,1000900,10010
Davis,4,243100,2432
Smith,3,509300,5094
Jones,3,521700,5218
Martinez,4,478100,4782
Taylor,1,437300,4374
Miller,2,320500,3206
Anderson,1,50400,505
Robinson,0,242700,2428
Brown,3,610000,6101
Thompson,2,864800,8649
Wilson,3,130500,1306
Jones,1,594500,5946
Taylor,4,922700,9228
Williams,1,603000,6031
Taylor,3,808800,8089
Wilson,3,431100,4312
Garcia,1,1021800,10219
Robinson,3,859200,8593
Jackson,2,843600,8437
Thomas,3,90600,907
Smith,2,856000,8561
Smith,4,449100,4492
Wilson,4,327800,3279
Wilson,1,202400,2025
Jones,1,668800,6689
Brown,2,142700,1428
Moore,3,186700,1868
Thompson,2,168800,1689
Wilson,3,245000,2451
Thompson,1,444200,4443
Wilson,2,261500,2616
Moore,0,399600,3997
Garcia,2,909000,9091
Davis,1,4400,34
Brown,2,974800,9749
Moore,3,625100,6241
Smith,0,440800,4409
Martinez,2,654300,6533
Jones,4,924400,9245
Davis,0,476800,4769
Martinez,3,173700,1738
Johnson,3,4500,46
Jackson,1,365400,3655
Davis,0,317500,3176
Thompson,2,715300,7154
Smith,3,663900,6640
Smith,3,125300,1254
Taylor,1,586400,5865
Davis,0,662900,6630
Anderson,3,921500,9216
White,0,25100,252
Brown,4,296400,2965
Wilson,0,601100,6012
Davis,4,129000,1291
Wilson,4,770000,7701
White,1,538900,5390
Thomas,3,12100,122
Smith,1,379800,3799
Anderson,0,416300,4164
Jones,0,197900,1980
Taylor,3,545200,5453
Johnson,1,396300,3964
Martin,1,344500,3446
Thomas,1,151500,1516
Martinez,0,1014200,10143
Martin,3,907200,9073
Brown,1,111700,1118
Harris,1,521300,5214
White,0,293500,2936
Robinson,0,26700,268
Miller,3,476700,4768
Moore,0,115600,1157
Martin,4,871400,8715
Harris,2,788700,7888
Wilson,1,464200,4643
Taylor,0,458500,4586
Wilson,1,602000,6021
Brown,1,490600,4907
Robinson,3,976200,9752
Johnson,4,880100,8802
Davis,1,59600,597
Davis,4,68000,681
Jackson,3,987500,9876
Davis,4,871500,8716
Moore,4,870900,8710
Brown,1,895300,8954
Smith,0,672600,6727
Moore,3,368300,3684
Jackson,2,349400,3495
Jones,2,430500,4306
Moore,2,9600,97
White,2,883700,8838
Martinez,3,791700,7918
Taylor,2,89300,894
Anderson,0,112600,1127
Harris,2,717100,7172
Martin,2,12800,129
Martinez,4,238300,2384
Anderson,0,36200,363
Thompson,0,427800,4279
Garcia,1,384100,3842
Johnson,3,438900,4390
Garcia,1,873100,8732
Harris,1,536800,5358
Taylor,1,729500,7296
Moore,2,984400,9845
Garcia,3,633500,6336
Taylor,4,433500,4336
Johnson,0,418500,4186
Taylor,3,596800,5969
White,1,427700,4278
Brown,0,61800,619
Thompson,4,553400,5535
Martinez,3,664500,6635
Thomas,2,193500,1936
Harris,0,490700,4908
Harris,1,173100,1732
Martinez,4,384900,3850
Johnson,2,814000,8141
Thompson,2,336200,3363
Smith,2,43600,437
Miller,4,363700,3638
Martinez,4,1012500,10126
Martinez,4,48400,485
Wilson,0,518500,5186
Anderson,2,467200,4673
Jackson,2,882800,8829
Johnson,0,769100,7692
Thomas,0,232500,2326
Thomas,0,298900,2990
Thomas,0,888200,8883
Brown,3,28000,281
Thompson,2,79900,800
Robinson,2,316500,3166
Jones,3,158100,1582
Wilson,1,2200,23
Davis,1,365800,3659
Garcia,3,54500,546
Harris,1,36800,369
Johnson,2,396700,3968
Garcia,2,304600,3047
Brown,2,599000,5991
Taylor,1,87700,878
Williams,2,557900,5580
Martinez,3,34700,348
Garcia,4,766000,7661
Jackson,4,473400,4735
White,3,804700,8048
White,2,442200,4423
Taylor,2,67100,672
Harris,0,719400,7195
Wilson,1,484600,4847
Moore,2,393700,3938
Smith,3,52800,529
Jones,2,96100,962
Miller,0,658600,6587
Jones,3,110600,1107
Robinson,0,984900,9850
Martinez,4,982000,9821
Miller,4,685300,6854
Thompson,2,126500,1266
Thomas,2,948300,9484
Moore,3,378900,3779
Miller,1,40300,404
Harris,3,750300,7504
Martinez,0,779500,7796
Robinson,4,262200,2623
Moore,2,956100,9562
Garcia,0,470400,4705
Harris,2,674000,6741
Taylor,1,609600,6097
Brown,3,779200,7793
Anderson,3,766500,7666
Wilson,4,18700,188
Brown,1,540100,5402
Smith,0,188000,1881
Moore,4,429400,4295
Williams,0,961900,9620
Jackson,2,747500,7476
Brown,1,474000,4741
Thomas,1,734000,7341
Thompson,4,434600,4347
Williams,2,798100,7982
Thompson,2,830300,8304
Harris,3,369400,3695
Wilson,4,452700,4528
Garcia,3,39000,391
Moore,1,624100,6242
Davis,2,662600,6627
Martin,4,82700,828
Martinez,4,18800,189
Thompson,0,899200,8993
Thomas,4,839300,8394
Williams,1,26100,262
Williams,2,869200,8693
Davis,0,609700,6098
Taylor,3,795800,7959
Taylor,0,801900,8020
Johnson,0,411100,4112
Martinez,2,627000,6271
Harris,1,221300,2214
Anderson,3,507700,5078
White,4,440600,4407
Moore,3,233200,2333
Johnson,4,991700,9918
Martin,2,767600,7677
Martin,0,664700,6648
Thomas,0,492300,4924
Martin,3,42800,429
Harris,2,34600,347
Harris,1,1009600,10097
Robinson,1,339800,3399
Taylor,2,643300,6434
Moore,4,422000,4221
Miller,3,476300,4764
Thomas,4,88700,888
Anderson,4,987100,9872
Moore,0,515000,5151
Martinez,1,274200,2743
White,4,212800,2129
Miller,2,105200,1053
Martinez,4,217000,2171
Smith,1,731200,7313
Johnson,4,459200,4593
Thompson,4,199000,1991
Anderson,0,968800,9689
Miller,0,963800,9639
Jones,0,461500,4616
Williams,4,332900,3330
Robinson,4,353400,3535
Thomas,3,577700,5778
Thompson,0,300100,3002
Robinson,0,465200,4653
Williams,3,389600,3897
Taylor,3,787200,7873
Brown,0,317300,3174
Miller,3,522800,5229
Moore,3,534500,5346
Anderson,4,943900,9440
Brown,4,186800,1869
Brown,4,829300,8294
Robinson,2,194500,1946
Anderson,2,92600,927
Harris,3,717500,7176
Robinson,2,432100,4322
Thompson,3,985600,9857
Taylor,2,945800,9459
Harris,2,211200,2113
Thompson,2,900300,9004
Thomas,1,396400,3965
Williams,3,659800,6599
Robinson,2,146300,1464
Garcia,0,348600,3487
Garcia,2,845500,8456
Miller,2,276600,2767
Miller,2,544200,5443
Brown,2,884400,8845
Martinez,2,918000,9181
Johnson,0,966300,9664
Williams,0,883100,8832
Johnson,3,316400,3165
Moore,1,797900,7980
Brown,3,1800,19
Brown,3,588600,5887
Thompson,0,518400,5185
Brown,2,561700,5618
Davis,2,798900,7990
Davis,2,1011100,10112
Taylor,0,97600,977
Jackson,2,137300,1374
Thomas,0,762800,7629
Williams,3,719800,7188
Moore,0,260300,2604
Smith,4,102100,1022
Williams,0,605800,6059
Taylor,4,282300,2824
Smith,3,455100,4552
Harris,2,780000,7801
Robinson,1,68500,686
Johnson,4,1024100,10242
Wilson,3,338000,3381
Martinez,0,817400,8175
Jackson,0,268600,2687
Martinez,3,266400,2665
Martinez,0,594300,5944
Miller,2,566900,5670
Harris,0,15600,157
Williams,3,490900,4910
Wilson,0,852600,8527
Miller,0,981100,9812
Johnson,2,679300,6794
Davis,2,674700,6748
Wilson,3,967000,9671
Smith,4,497200,4973
White,0,448500,4475
Smith,0,185800,1859
Harris,0,189000,1891
Jones,3,4800,49
Garcia,3,73100,732
Taylor,4,216700,2168
Moore,3,170600,1707
Garcia,1,237100,2372
Williams,0,810500,8106
Thompson,2,1018100,10182
Anderson,4,109000,1091
Garcia,1,321800,3219
Wilson,1,283300,2834
Thompson,4,518800,5189
Martin,1,932500,9326
Miller,0,531600,5317
Miller,2,61500,616
Robinson,2,200700,2008
Miller,0,917400,9175
Davis,2,57800,579
Thomas,0,780600,7807
Jones,1,612600,6127
Anderson,1,935500,9356
Wilson,0,552400,5525
Martinez,3,758200,7583
Martin,4,161000,1611
Brown,2,558200,5583
Garcia,4,125100,1252
Martin,1,644400,6445
Williams,3,282800,2829
Jones,3,708000,7081
Martin,2,183700,1838
Brown,2,394100,3942
Brown,4,158600,1587
Miller,0,868700,8688
Jones,0,551500,5516
Brown,1,752000,7521
Jones,0,145300,1454
Thomas,0,579600,5797
Garcia,1,716300,7164
Wilson,1,539900,5400
Wilson,4,242600,2427
Thomas,1,477600,4777
Johnson,2,23500,236
Taylor,4,117000,1171
Brown,1,1007200,10073
Martin,4,759700,7587
Brown,4,235400,2355
Brown,3,354900,3550
Harris,0,890800,8909
Harris,1,693200,6933
Martinez,3,735900,7360
Moore,3,724100,7242
Williams,4,12400,125
Robinson,4,766300,7664
Thomas,0,823800,8239
Miller,4,209700,2098
Jones,0,631900,6320
Martin,4,94100,942
Jones,2,1009500,10096
Anderson,3,997700,9978
Garcia,3,313400,3135
Miller,4,31000,311
Miller,1,788800,7889
Miller,4,898600,8987
Robinson,0,825900,8260
Martinez,2,1019800,10199
Harris,2,911600,9117
Johnson,4,250700,2508
Thompson,4,624800,6249
Williams,1,227700,2278
Jones,2,198900,1990
Brown,2,460400,4605
Garcia,3,723700,7238
Thomas,1,358200,3583
Davis,0,254600,2547
Jones,0,853000,8531
Smith,4,981400,9815
White,4,604600,6047
Jones,1,78700,788
Brown,0,971300,9703
Williams,2,125500,1256
Thompson,4,590300,5904
Garcia,3,357200,3573
Williams,0,37800,379
Jackson,3,349200,3493
Martinez,2,526500,5266
Smith,4,524800,5249
Wilson,0,839100,8392
Williams,3,508300,5084
Robinson,1,758100,7582
Johnson,3,758500,7586
Martin,1,697200,6973
Thompson,2,561600,5617
Jones,3,188300,1884
Wilson,0,1011700,10118
Johnson,4,337100,3372
Martinez,1,793500,7936
Harris,2,665900,6660
Taylor,2,790200,7903
Robinson,0,691500,6916
Williams,2,96900,970
White,0,16700,168
Thompson,3,900400,9005
Wilson,3,9300,94
Thomas,4,179100,1792
Wilson,1,866600,8667
Williams,2,11000,111
Anderson,4,81700,818
Williams,3,618000,6181
Miller,0,833500,8336
Jones,1,64900,650
Moore,0,505300,5054
Anderson,4,703600,7037
Thomas,4,397400,3975
Wilson,4,715800,7159
Miller,0,756700,7568
Robinson,1,706300,7064
Thompson,3,547200,5473
Smith,2,326600,3267
Davis,0,124800,1249
Brown,3,832000,8321
Wilson,1,190100,1902
Smith,3,550600,5507
Jackson,1,796500,7966
Thompson,1,804900,8050
Garcia,0,814300,8144
Thomas,0,843500,8436
Robinson,2,178000,1781
Garcia,3,42400,425
Miller,1,1010800,10109
Smith,1,1016800,10169
White,3,813100,8132
Johnson,3,437500,4376
Jones,4,639000,6391
Taylor,2,175000,1751
Harris,2,291100,2912
Martin,1,39800,388
Smith,2,372500,3726
Robinson,4,895800,8959
Martinez,1,15300,154
Jackson,0,152200,1523
Moore,1,249500,2496
Thomas,3,736900,7370
Moore,0,845000,8451
Wilson,3,437100,4372
Wilson,3,871700,8718
Anderson,1,989400,9895
Davis,3,457100,4572
Thompson,3,191400,1915
Smith,0,102400,1025
Miller,1,294400,2945
Wilson,2,608700,6088
Jones,1,630700,6308
Moore,4,110400,1105
White,0,5500,56
Brown,0,992500,9926
Thompson,4,700200,7003
Anderson,4,645200,6453
Thompson,3,856300,8564
Johnson,0,608900,6090
Johnson,4,496300,4964
Brown,3,568700,5688
Williams,3,725700,7258
Jackson,0,371500,3716
White,4,608100,6082
Taylor,1,848800,8489
Taylor,3,427300,4274
Wilson,0,720700,7208
Anderson,4,451100,4512
Smith,1,660200,6603
Davis,0,601300,6014
Thomas,2,175400,1755
Harris,2,36500,366
Miller,0,461900,4620
Anderson,1,6100,62
Davis,1,32200,323
Brown,3,707100,7072
Garcia,3,871000,8711
Thompson,3,582100,5822
White,3,359100,3592
Williams,3,983900,9840
Thomas,2,647100,6472
Harris,1,14200,143
Taylor,0,13000,131
Anderson,4,572100,5722
Williams,1,990100,9902
White,0,815600,8157
Robinson,4,1001300,10014
Davis,1,53000,531
Miller,3,511800,5119
Harris,1,603700,6038
Wilson,0,448600,4487
White,1,812100,8122
Smith,4,838200,8383
Miller,1,993300,9934
Anderson,2,616000,6161
Moore,3,142200,1423
Williams,1,724400,7245
Brown,2,882900,8830
Johnson,4,245800,2459
Garcia,0,374000,3741
Moore,0,940100,9402
Martin,4,498300,4984
Brown,4,191000,1911
Harris,4,693700,6938
Robinson,3,503800,5039
Brown,2,871100,8712
Thomas,4,318900,3190
Thompson,2,1002500,10026
Garcia,1,61400,615
Johnson,2,986000,9861
Robinson,3,84900,850
Brown,2,22400,225
Smith,0,434400,4345
Wilson,4,303000,3031
Taylor,0,824700,8248
Martin,0,633900,6340
Robinson,0,531700,5318
Wilson,0,727700,7278
Jones,1,840800,8409
Jones,1,354700,3548
White,1,281200,2813
Anderson,0,676700,6768
Smith,0,267300,2674
Williams,2,716600,7167
Smith,3,400200,4003
Robinson,0,106600,1067
Davis,0,9900,100
White,2,13400,135
Martin,2,903500,9036
Garcia,3,242400,2425
Robinson,1,544500,5446
Jackson,4,535600,5357
Jones,1,524900,5250
White,0,98000,981
Wilson,2,833600,8337
Thompson,4,692300,6924
Brown,0,6600,67
Smith,2,55300,554
Thompson,2,502800,5029
Jones,0,91800,919
Moore,3,687700,6878
White,2,512100,5122
Jones,2,745800,7459
White,4,470300,4704
Miller,4,962900,9630
Smith,3,256700,2568
Smith,2,277100,2772
Taylor,4,169700,1698
Thomas,4,450000,4501
Miller,4,733000,7331
Miller,2,306600,3067
Davis,2,647400,6475
Wilson,3,24900,250
Jones,0,530000,5301
Jones,4,929400,9295
Robinson,2,559700,5598
Smith,0,846400,8465
Garcia,1,782900,7830
Brown,4,99100,992
Martin,2,961300,9614
Thomas,2,992000,9921
Williams,3,935300,9354
Brown,3,929200,9293
Williams,0,318600,3187
Thompson,2,652600,6527
Garcia,3,934500,9346
Thomas,4,367500,3676
Davis,3,950800,9509
Taylor,1,733900,7340
Martin,2,679900,6800
Thomas,0,306200,3063
Miller,4,616900,6170
Davis,3,60900,610
Miller,2,615500,6156
Robinson,1,803700,8038
Anderson,1,791800,7919
White,3,725400,7255
Garcia,4,728000,7281
White,3,283600,2837
Davis,4,1023900,10240
Brown,4,23400,235
Martinez,2,153300,1534
Martin,0,971200,9713
Williams,2,979100,9792
Wilson,2,396800,3969
Jones,1,617400,6175
Thomas,3,881900,8820
Davis,3,92000,921
White,0,829900,8300
Taylor,1,378700,3788
Thompson,1,271300,2714
Anderson,2,785400,7855
Moore,1,305100,3052
Anderson,0,668400,6685
White,0,454200,4543
Smith,3,101300,1014
Taylor,0,833900,8340
Martin,0,262800,2629
White,1,948000,9481
White,2,1003300,10034
Harris,3,916300,9164
Martinez,3,562300,5624
Thomas,3,297000,2971
Moore,4,960300,9604
Johnson,4,969000,9691
Harris,0,411200,4113
Anderson,4,77500,776
Johnson,3,451400,4515
Williams,2,461000,4611
Thomas,1,104700,1048
Robinson,2,248000,2481
Brown,1,409300,4094
Miller,2,400800,4009
Anderson,4,576200,5763
Jones,4,240100,2402
